date,num_likes,num_retweets,tweet_source,tweets
2022-03-10 12:01:00+00:00,3901,526,Twitter Media Studio,"🎥 Here's how our #MUAcademy U18s booked a place in the #FAYouthCup final! 👇

#MUFC https://t.co/U1kuCh3rMV"
2022-03-10 11:22:27+00:00,1869,127,Twitter for iPhone,"A special message for our #MUAcademy U18s from Phil Jones 💬

We’re all right behind you, lads! 🏆💪

#MUFC | #FAYouthCup https://t.co/wIOMbJrlrB https://t.co/q4NYQ1RYcC"
2022-03-10 10:26:07+00:00,2841,184,Twitter for Advertisers.,"ℹ️ #MUNTOT is edging closer — find out the latest news from both camps 👇

#MUFC"
2022-03-10 08:43:00+00:00,6607,399,Twitter Media Studio,"🔟 // 3️⃣

🔴 @WayneRooney x @Evra 🔴

#MUFC | #PhotoOfTheDay https://t.co/kaMfk2LSqC"
2022-03-10 06:01:00+00:00,2406,146,Twitter for Advertisers.,"He went on to play for one of their biggest rivals 😬🇳🇱

#MUFC | #UTDPodcast"
2022-03-10 02:40:00+00:00,6319,282,Twitter for Advertisers.,"👀 @D_DeGea has revealed all... 🇪🇸

#MUFC"
2022-03-09 22:26:28+00:00,12832,848,Twitter Media Studio,"Our #FAYouthCup finalists 👏 

#MUFC | #MUAcademy https://t.co/FcxPVXkuAh"
2022-03-09 21:36:00+00:00,2709,210,Twitter for Advertisers.,"We're proud of the journey you've been on so far, Reds — don't stop there! 👏🔴

#MUFC | #MUAcademy"
2022-03-09 20:53:42+00:00,8976,837,Twitter Media Studio,"Confirmed: #FAYouthCup final ✅

A brace from Charlie McNeill and a goal from Alejandro Garnacho saw off Wolves at Old Trafford — well played, Reds! 👏🔴

#MUFC | #MUAcademy https://t.co/zVZ4F0WC6W"
2022-03-09 19:49:23+00:00,2166,136,Twitter for Advertisers.,"Our #MUAcademy U18s lead at the break thanks to Charlie McNeill's neat finish — keep it up, Reds! 👏🔴

#MUFC | #MUAcademy"
2022-03-09 18:45:00+00:00,6208,345,Twitter Web App,"Upping the intensity ahead of #MUNTOT 📈🔥

#MUFC https://t.co/LpC5t8elU9"
2022-03-09 18:40:00+00:00,17510,977,Twitter Web App,"Working hard to return to full fitness! ✊🔴

🇵🇹 @Cristiano 

#MUFC | #MUNTOT https://t.co/Ode3OqnWtF"
2022-03-09 18:35:00+00:00,5749,340,Twitter Web App,"Getting #MUNTOT ready 👏

#MUFC https://t.co/drpCCphRZM"
2022-03-09 18:30:00+00:00,14116,762,Twitter Web App,"Let's go to work 📸💪

#MUFC | #MUNTOT https://t.co/yYss3Vc5LZ"
2022-03-09 18:20:00+00:00,1810,124,Twitter for Advertisers.,"📸 See who was pictured at Carrington today as we prepared for #MUNTOT! 💪

#MUFC"
2022-03-09 18:00:01+00:00,2059,170,Twitter for Advertisers.,"🚨 Here's how our #MUAcademy U18s will line up for tonight's #FAYouthCup semi-final against Wolves...

All the best, Reds! ✊🔴

#MUFC"
2022-03-09 17:31:45+00:00,2228,157,Twitter for Advertisers.,"🚨 Get the latest update on @RaphaelVarane, plus two more key Reds ahead of #MUNTOT...

#MUFC | #PL"
2022-03-09 16:40:56+00:00,1402,98,Twitter for Advertisers.,"Our U18s coach answers all the important questions ahead of tonight's #FAYouthCup match 📰👇

#MUFC | #MUAcademy"
2022-03-09 15:33:00+00:00,2293,185,Twitter Media Studio,"⏪ How United booked a place in the #FAYouthCup semi-finals with victory against Leicester... 

#MUFC | #MUAcademy https://t.co/iPDtZ8dWhI"
2022-03-09 14:29:28+00:00,1921,116,Twitter for Advertisers.,"Our #MUAcademy U18s are relishing the opportunity to walk out at Old Trafford again! 🚶‍♂️🏟

#MUFC | #FAYouthCup"
2022-03-09 13:27:33+00:00,1864,146,Twitter for Advertisers.,"It's #FAYouthCup semi-final day for our #MUAcademy U18s — good luck, lads! 💪🔴

#MUFC"
2022-03-09 12:13:54+00:00,5531,399,Twitter for Advertisers.,"All eyes on Saturday's Old Trafford return 🏟🔴

#MUFC | #MUNTOT"
2022-03-09 04:46:02+00:00,14661,719,Sprout Social,"⏪ #FAYouthCup memories 📸

🤟 @JesseLingard x @PaulPogba 👍

#MUFC #PhotoOfTheDay https://t.co/LHu5wzqxob"
2022-03-08 22:46:00+00:00,3110,189,Twitter for Advertisers.,"💬 @Sanchooo10 discusses his footballing strengths, learning and adapting... 

#MUFC | #PL"
2022-03-08 22:09:36+00:00,8520,580,Twitter for iPhone,"George Best 💚🎨 

Cregagh Estate, Belfast 📍

#MUFC https://t.co/uIRG9fhElr"
2022-03-08 18:59:00+00:00,3800,195,Twitter Media Studio,"⏳ This time tomorrow for our #MUAcademy U18s... 

#MUFC | #FAYouthCup https://t.co/4LL0rJGqZg"
2022-03-08 18:30:53+00:00,1171,87,Twitter for Advertisers.,"An #IWD2022 takeover is on the agenda in today's 𝗨𝗻𝗶𝘁𝗲𝗱 𝗗𝗮𝗶𝗹𝘆! ⬇️

#MUFC | #ChangeTheGame"
2022-03-08 17:08:11+00:00,2387,144,Sprout Social,"Primed for Wednesday's #FAYouthCup semi-final at Old Trafford 💪

#MUFC | #MUAcademy https://t.co/V9fFGwyv8y"
2022-03-08 17:04:08+00:00,6674,291,Sprout Social,"Straight to work ✊🔴

#MUFC | #MUAcademy https://t.co/7HnUEaJfOR"
2022-03-08 17:01:03+00:00,3722,162,Sprout Social,"Ready for work ahead of our #FAYouthCup semi-final 😀👍

#MUFC | #MUAcademy https://t.co/gqqB36Rb4M"
2022-03-08 15:21:00+00:00,2969,134,Twitter for Advertisers.,"The journey continues for our #MUAcademy U18s on Wednesday ✊🔴

#MUFC | #FAYouthCup"
2022-03-08 13:20:04+00:00,2959,275,Sprout Social,"Creating new possibilities 💫

#ChangeTheGame | #IWD2022 https://t.co/Xuhkwgh3Zg"
2022-03-08 11:30:00+00:00,1462,136,Twitter for Advertisers,"⏩ Pushing for change 
🌟 Inspiring action
🔴 Evolving our football club

#IWD2022 | #ChangeTheGame"
2022-03-08 11:00:03+00:00,1837,205,Twitter for Advertisers.,"𝗠𝗲𝗲𝘁 𝘁𝗵𝗲 𝗚𝗮𝗺𝗲 𝗖𝗵𝗮𝗻𝗴𝗲𝗿𝘀 💪

Hear from the inspirational women shaping our football club on and off the pitch 💬

#IWD2022 | #ChangeTheGame"
2022-03-08 02:40:00+00:00,2326,129,Twitter for Advertisers.,"In part one of our newest #UTDPodcast, Jaap Stam discusses his arrival at United ✍️

#MUFC"
2022-03-07 17:34:00+00:00,1714,113,Twitter for Advertisers.,"🎙 Jaap Stam is the latest guest on our #UTDPodcast — listen to part one of our exclusive chat in the Man Utd app now 📲

#MUFC"
